"Codice comune","Comune","Età","Sesso","Popolazione"
"017001","Acquafredda","99","Femmine","0"
"017001","Acquafredda","100 e oltre","Totale","0"
"017001","Acquafredda","100 e oltre","Maschi","0"
"017001","Acquafredda","100 e oltre","Femmine","0"
"017002","Adro","0","Totale","59"
"017002","Adro","0","Maschi","31"
"017002","Adro","0","Femmine","28"
"017002","Adro","1","Totale","74"
"017002","Adro","1","Maschi","39"
"017002","Adro","1","Femmine","35"
"017002","Adro","2","Totale","64"
"017002","Adro","2","Maschi","29"
"017002","Adro","2","Femmine","35"
"017002","Adro","3","Totale","50"
"017002","Adro","3","Maschi","25"
"017002","Adro","3","Femmine","25"
"017002","Adro","4","Totale","57"
"017002","Adro","4","Maschi","30"
"017002","Adro","4","Femmine","27"
"017002","Adro","5","Totale","83"
"017002","Adro","5","Maschi","44"
"017002","Adro","5","Femmine","39"
"017002","Adro","6","Totale","87"
"017002","Adro","6","Maschi","47"
"017002","Adro","6","Femmine","40"
"017002","Adro","7","Totale","67"
"017002","Adro","7","Maschi","27"
"017002","Adro","7","Femmine","40"
"017002","Adro","8","Totale","58"
"017002","Adro","8","Maschi","29"
"017002","Adro","8","Femmine","29"
"017002","Adro","9","Totale","92"
"017002","Adro","9","Maschi","51"
"017002","Adro","9","Femmine","41"
"017002","Adro","10","Totale","78"
"017002","Adro","10","Maschi","41"
"017002","Adro","10","Femmine","37"
"017002","Adro","11","Totale","61"
"017002","Adro","11","Maschi","29"
"017002","Adro","11","Femmine","32"
"017002","Adro","12","Totale","69"
"017002","Adro","12","Maschi","36"
"017002","Adro","12","Femmine","33"
"017002","Adro","13","Totale","77"
"017002","Adro","13","Maschi","44"
"017002","Adro","13","Femmine","33"
"017002","Adro","14","Totale","84"
"017002","Adro","14","Maschi","40"
"017002","Adro","14","Femmine","44"
"017002","Adro","15","Totale","76"
"017002","Adro","15","Maschi","43"
"017002","Adro","15","Femmine","33"
"017002","Adro","16","Totale","71"
"017002","Adro","16","Maschi","33"
"017002","Adro","16","Femmine","38"
"017002","Adro","17","Totale","55"
"017002","Adro","17","Maschi","28"
"017002","Adro","17","Femmine","27"
"017002","Adro","18","Totale","72"
"017002","Adro","18","Maschi","38"
"017002","Adro","18","Femmine","34"
"017002","Adro","19","Totale","76"
"017002","Adro","19","Maschi","49"
"017002","Adro","19","Femmine","27"
"017002","Adro","20","Totale","66"
"017002","Adro","20","Maschi","37"
"017002","Adro","20","Femmine","29"
"017002","Adro","21","Totale","49"
"017002","Adro","21","Maschi","19"
"017002","Adro","21","Femmine","30"
"017002","Adro","22","Totale","64"
"017002","Adro","22","Maschi","41"
"017002","Adro","22","Femmine","23"
"017002","Adro","23","Totale","72"
"017002","Adro","23","Maschi","34"
"017002","Adro","23","Femmine","38"
"017002","Adro","24","Totale","64"
"017002","Adro","24","Maschi","32"
"017002","Adro","24","Femmine","32"
"017002","Adro","25","Totale","58"
"017002","Adro","25","Maschi","35"
"017002","Adro","25","Femmine","23"
"017002","Adro","26","Totale","51"
"017002","Adro","26","Maschi","27"
"017002","Adro","26","Femmine","24"
