MonthPeriod;Area;Outcome;N_events;Year;Month;Population;Rate_per_10000
2019-08-01;Industrial;Respiratory;203;2019;8;340591;5.960227956698797
2019-08-01;Industrial;Cardiocirculatory;488;2019;8;340591;14.3280356791577
2019-08-01;Agricultural;Respiratory;32;2019;8;60103;5.324193467880139
2019-08-01;Agricultural;Cardiocirculatory;79;2019;8;60103;13.144102623829092
2019-09-01;Industrial;Respiratory;196;2019;9;340591;5.754702854743666
2019-09-01;Industrial;Cardiocirculatory;486;2019;9;340591;14.269314221456234
2019-09-01;Agricultural;Respiratory;32;2019;9;60103;5.324193467880139
2019-09-01;Agricultural;Cardiocirculatory;98;2019;9;60103;16.305342495382927
2019-10-01;Industrial;Respiratory;259;2019;10;340591;7.604428772339844
2019-10-01;Industrial;Cardiocirculatory;541;2019;10;340591;15.884154308246547
2019-10-01;Agricultural;Respiratory;35;2019;10;60103;5.823336605493902
2019-10-01;Agricultural;Cardiocirculatory;105;2019;10;60103;17.470009816481706
2019-11-01;Industrial;Respiratory;234;2019;11;340591;6.8704105510715205
2019-11-01;Industrial;Cardiocirculatory;493;2019;11;340591;14.474839323411365
2019-11-01;Agricultural;Respiratory;46;2019;11;60103;7.6535281100777
2019-11-01;Agricultural;Cardiocirculatory;88;2019;11;60103;14.641532036670382
2019-12-01;Industrial;Respiratory;268;2019;12;340591;7.8686753319964415
2019-12-01;Industrial;Cardiocirculatory;546;2019;12;340591;16.030957952500213
2019-12-01;Agricultural;Respiratory;38;2019;12;60103;6.322479743107666
2019-12-01;Agricultural;Cardiocirculatory;100;2019;12;60103;16.638104587125433
2023-01-01;Industrial;Respiratory;325;2023;1;341484;9.51728338663012
2023-01-01;Industrial;Cardiocirculatory;600;2023;1;341484;17.5703693291633
2023-01-01;Agricultural;Respiratory;61;2023;1;59596;10.235586280958454
2023-01-01;Agricultural;Cardiocirculatory;122;2023;1;59596;20.47117256191691
2023-02-01;Industrial;Respiratory;286;2023;2;341484;8.375209380234505
2023-02-01;Industrial;Cardiocirculatory;486;2023;2;341484;14.231999156622273
2023-02-01;Agricultural;Respiratory;58;2023;2;59596;9.732196791730988
2023-02-01;Agricultural;Cardiocirculatory;93;2023;2;59596;15.605074166051413
2023-03-01;Industrial;Respiratory;268;2023;3;341484;7.848098300359607
2023-03-01;Industrial;Cardiocirculatory;547;2023;3;341484;16.01832003842054
2023-03-01;Agricultural;Respiratory;46;2023;3;59596;7.718638834821129
2023-03-01;Agricultural;Cardiocirculatory;81;2023;3;59596;13.591516209141552
2023-04-01;Industrial;Respiratory;265;2023;4;341484;7.76024645371379
2023-04-01;Industrial;Cardiocirculatory;526;2023;4;341484;15.403357111899826
2023-04-01;Agricultural;Respiratory;44;2023;4;59596;7.383045842002819
2023-04-01;Agricultural;Cardiocirculatory;75;2023;4;59596;12.584737230686624
2023-05-01;Industrial;Respiratory;239;2023;5;341484;6.99886378278338
2023-05-01;Industrial;Cardiocirculatory;559;2023;5;341484;16.369727425003806
2023-05-01;Agricultural;Respiratory;45;2023;5;59596;7.550842338411974
2023-05-01;Agricultural;Cardiocirculatory;103;2023;5;59596;17.28303913014296
2023-06-01;Industrial;Respiratory;220;2023;6;341484;6.442468754026543
2023-06-01;Industrial;Cardiocirculatory;573;2023;6;341484;16.77970270935095
2023-06-01;Agricultural;Respiratory;36;2023;6;59596;6.040673870729579
2023-06-01;Agricultural;Cardiocirculatory;93;2023;6;59596;15.605074166051413
2023-07-01;Industrial;Respiratory;212;2023;7;341484;6.208197162971032
2023-07-01;Industrial;Cardiocirculatory;619;2023;7;341484;18.126764357920138
2023-07-01;Agricultural;Respiratory;37;2023;7;59596;6.208470367138734
2023-07-01;Agricultural;Cardiocirculatory;80;2023;7;59596;13.423719712732398
2023-08-01;Industrial;Respiratory;239;2023;8;341484;6.99886378278338
2023-08-01;Industrial;Cardiocirculatory;535;2023;8;341484;15.666912651837274
2023-08-01;Agricultural;Respiratory;39;2023;8;59596;6.544063359957044
2023-08-01;Agricultural;Cardiocirculatory;92;2023;8;59596;15.437277669642258
2023-09-01;Industrial;Respiratory;230;2023;9;341484;6.735308242845932
2023-09-01;Industrial;Cardiocirculatory;534;2023;9;341484;15.637628702955336
2023-09-01;Agricultural;Respiratory;43;2023;9;59596;7.215249345593664
2023-09-01;Agricultural;Cardiocirculatory;79;2023;9;59596;13.255923216323243
2023-10-01;Industrial;Respiratory;261;2023;10;341484;7.6431106581860355
2023-10-01;Industrial;Cardiocirculatory;619;2023;10;341484;18.126764357920138
2023-10-01;Agricultural;Respiratory;49;2023;10;59596;8.222028324048594
2023-10-01;Agricultural;Cardiocirculatory;69;2023;10;59596;11.577958252231694
2023-11-01;Industrial;Respiratory;254;2023;11;341484;7.438123016012463
2023-11-01;Industrial;Cardiocirculatory;684;2023;11;341484;20.03022103524616
2023-11-01;Agricultural;Respiratory;45;2023;11;59596;7.550842338411974
2023-11-01;Agricultural;Cardiocirculatory;97;2023;11;59596;16.276260151688035
2023-12-01;Industrial;Respiratory;396;2023;12;341484;11.596443757247776
2023-12-01;Industrial;Cardiocirculatory;698;2023;12;341484;20.440196319593305
2023-12-01;Agricultural;Respiratory;62;2023;12;59596;10.403382777367609
2023-12-01;Agricultural;Cardiocirculatory;110;2023;12;59596;18.457614605007045
