WeekStart;Year;Week;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel;NO2_population_weighted_mean_lag0;NO2_population_weighted_mean_lag0_WeekStart;PM25_population_weighted_mean_lag0;PM25_population_weighted_mean_lag0_WeekStart;NO2_population_weighted_mean_lag1;NO2_population_weighted_mean_lag1_WeekStart;PM25_population_weighted_mean_lag1;PM25_population_weighted_mean_lag1_WeekStart;NO2_population_weighted_mean_lag2;NO2_population_weighted_mean_lag2_WeekStart;PM25_population_weighted_mean_lag2;PM25_population_weighted_mean_lag2_WeekStart;NO2_population_weighted_mean_lag3;NO2_population_weighted_mean_lag3_WeekStart;PM25_population_weighted_mean_lag3;PM25_population_weighted_mean_lag3_WeekStart;NO2_population_weighted_mean_lag4;NO2_population_weighted_mean_lag4_WeekStart;PM25_population_weighted_mean_lag4;PM25_population_weighted_mean_lag4_WeekStart
2019-11-25;2019;48;Agricultural;60103;1.3310483669700348;3.161239871553833;36.4799197457912;19.08444239604057;2019-11-25;36.4799197457912;2019-11-25;19.08444239604057;2019-11-25;24.73553172641687;2019-11-18;12.190233764696183;2019-11-18;27.004331317111944;2019-11-11;13.051962274602165;2019-11-11;26.271896861925125;2019-11-04;15.211857580492055;2019-11-04;20.13536005513777;2019-10-28;23.112954204783538;2019-10-28
2019-11-25;2019;48;Industrial;340591;1.5267579002381155;3.4352052755357603;37.06200547978663;23.244513978529763;2019-11-25;37.06200547978663;2019-11-25;23.244513978529763;2019-11-25;28.152523307582694;2019-11-18;12.775698539497549;2019-11-18;33.6990877772035;2019-11-11;14.02283588417458;2019-11-11;33.350770928235605;2019-11-04;14.447569226165035;2019-11-04;35.37108638575737;2019-10-28;21.288849769396613;2019-10-28
2019-12-02;2019;49;Agricultural;60103;1.6638104587125433;1.8301915045837978;42.790481757812415;26.918957202688393;2019-12-02;42.790481757812415;2019-12-02;26.918957202688393;2019-12-02;36.4799197457912;2019-11-25;19.08444239604057;2019-11-25;24.73553172641687;2019-11-18;12.190233764696183;2019-11-18;27.004331317111944;2019-11-11;13.051962274602165;2019-11-11;26.271896861925125;2019-11-04;15.211857580492055;2019-11-04
2019-12-02;2019;49;Industrial;340591;1.2918720694322514;3.904976937147488;42.37130550842392;29.472780802515267;2019-12-02;42.37130550842392;2019-12-02;29.472780802515267;2019-12-02;37.06200547978663;2019-11-25;23.244513978529763;2019-11-25;28.152523307582694;2019-11-18;12.775698539497549;2019-11-18;33.6990877772035;2019-11-11;14.02283588417458;2019-11-11;33.350770928235605;2019-11-04;14.447569226165035;2019-11-04
2019-12-09;2019;50;Agricultural;60103;1.3310483669700348;3.4940019632963413;44.99390862944163;21.387837554995063;2019-12-09;44.99390862944163;2019-12-09;21.387837554995063;2019-12-09;42.790481757812415;2019-12-02;26.918957202688393;2019-12-02;36.4799197457912;2019-11-25;19.08444239604057;2019-11-25;24.73553172641687;2019-11-18;12.190233764696183;2019-11-18;27.004331317111944;2019-11-11;13.051962274602165;2019-11-11
2019-12-09;2019;50;Industrial;340591;1.9965295618498433;3.523287462087959;46.56649839742901;27.203426758592695;2019-12-09;46.56649839742901;2019-12-09;27.203426758592695;2019-12-09;42.37130550842392;2019-12-02;29.472780802515267;2019-12-02;37.06200547978663;2019-11-25;23.244513978529763;2019-11-25;28.152523307582694;2019-11-18;12.775698539497549;2019-11-18;33.6990877772035;2019-11-11;14.02283588417458;2019-11-11
2019-12-16;2019;51;Agricultural;60103;1.6638104587125433;4.658669284395121;34.98119396106107;20.975020983219768;2019-12-16;34.98119396106107;2019-12-16;20.975020983219768;2019-12-16;44.99390862944163;2019-12-09;21.387837554995063;2019-12-09;42.790481757812415;2019-12-02;26.918957202688393;2019-12-02;36.4799197457912;2019-11-25;19.08444239604057;2019-11-25;24.73553172641687;2019-11-18;12.190233764696183;2019-11-18
2019-12-16;2019;51;Industrial;340591;1.7616437310439794;3.787534021744556;33.639296012535056;26.12988865851005;2019-12-16;33.639296012535056;2019-12-16;26.12988865851005;2019-12-16;46.56649839742901;2019-12-09;27.203426758592695;2019-12-09;42.37130550842392;2019-12-02;29.472780802515267;2019-12-02;37.06200547978663;2019-11-25;23.244513978529763;2019-11-25;28.152523307582694;2019-11-18;12.775698539497549;2019-11-18
2019-12-23;2019;52;Agricultural;60103;1.4974294128412893;4.99143137613763;39.5205872341685;21.795607583134775;2019-12-23;39.5205872341685;2019-12-23;21.795607583134775;2019-12-23;34.98119396106107;2019-12-16;20.975020983219768;2019-12-16;44.99390862944163;2019-12-09;21.387837554995063;2019-12-09;42.790481757812415;2019-12-02;26.918957202688393;2019-12-02;36.4799197457912;2019-11-25;19.08444239604057;2019-11-25
2019-12-23;2019;52;Industrial;340591;2.0846117484020423;3.170958715879163;35.7089988209687;23.40944506410714;2019-12-23;35.7089988209687;2019-12-23;23.40944506410714;2019-12-23;33.639296012535056;2019-12-16;26.12988865851005;2019-12-16;46.56649839742901;2019-12-09;27.203426758592695;2019-12-09;42.37130550842392;2019-12-02;29.472780802515267;2019-12-02;37.06200547978663;2019-11-25;23.244513978529763;2019-11-25
