WeekStart;Year;Week;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel
2018-02-12;2018;7;Industrial;338804;4.102667028724572;1.5052950968701668;2018-02-12
2018-02-19;2018;8;Agricultural;60224;3.6530286928799147;0.6641870350690754;2018-02-19
2018-02-19;2018;8;Industrial;338804;4.752010011688174;1.8004509982172583;2018-02-19
2018-02-26;2018;9;Agricultural;60224;2.324654622741764;1.162327311370882;2018-02-26
2018-02-26;2018;9;Industrial;338804;4.397822930071664;1.5052950968701668;2018-02-26
2018-03-05;2018;10;Agricultural;60224;3.154888416578108;1.8265143464399574;2018-03-05
2018-03-05;2018;10;Industrial;338804;4.840556782092301;1.6233574574090035;2018-03-05
2018-03-12;2018;11;Agricultural;60224;2.8227948990435707;2.4907013815090333;2018-03-12
2018-03-12;2018;11;Industrial;338804;4.663463241284046;1.8889977686213857;2018-03-12
2018-03-19;2018;12;Agricultural;60224;3.3209351753453773;1.6604675876726886;2018-03-19
2018-03-19;2018;12;Industrial;338804;4.132182618859281;1.5348106870048759;2018-03-19
2018-03-26;2018;13;Agricultural;60224;3.9851222104144526;1.3283740701381508;2018-03-26
2018-03-26;2018;13;Industrial;338804;4.89958796236172;1.2101391955230751;2018-03-26
2018-04-02;2018;14;Agricultural;60224;2.8227948990435707;1.6604675876726886;2018-04-02
2018-04-02;2018;14;Industrial;338804;4.220729389263409;1.328201556061912;2018-04-02
2018-04-09;2018;15;Agricultural;60224;3.154888416578108;2.1586078639744954;2018-04-09
2018-04-09;2018;15;Industrial;338804;3.925573487916317;1.4757795067354578;2018-04-09
2018-04-16;2018;16;Agricultural;60224;3.6530286928799147;1.162327311370882;2018-04-16
2018-04-16;2018;16;Industrial;338804;4.220729389263409;1.0330456547148203;2018-04-16
2018-04-23;2018;17;Agricultural;60224;3.3209351753453773;1.49442082890542;2018-04-23
2018-04-23;2018;17;Industrial;338804;3.807511127377481;1.5938418672742944;2018-04-23
2018-04-30;2018;18;Agricultural;60224;4.649309245483528;1.49442082890542;2018-04-30
2018-04-30;2018;18;Industrial;338804;3.2171993246832975;1.328201556061912;2018-04-30
2018-05-07;2018;19;Agricultural;60224;3.154888416578108;1.8265143464399574;2018-05-07
2018-05-07;2018;19;Industrial;338804;4.486369700475791;1.357717146196621;2018-05-07
2018-05-14;2018;20;Agricultural;60224;4.151168969181722;1.3283740701381508;2018-05-14
2018-05-14;2018;20;Industrial;338804;3.3647772753568432;1.2691703757924935;2018-05-14
2018-05-21;2018;21;Agricultural;60224;4.981402763018067;1.3283740701381508;2018-05-21
2018-05-21;2018;21;Industrial;338804;4.1616982089939905;1.180623605388366;2018-05-21
2018-05-28;2018;22;Agricultural;60224;3.819075451647184;1.6604675876726886;2018-05-28
2018-05-28;2018;22;Industrial;338804;3.305746095087425;1.2101391955230751;2018-05-28
2018-06-04;2018;23;Agricultural;60224;3.9851222104144526;1.8265143464399574;2018-06-04
2018-06-04;2018;23;Industrial;338804;3.4828396358956804;0.9740144744454021;2018-06-04
2018-06-11;2018;24;Agricultural;60224;4.317215727948991;1.162327311370882;2018-06-11
2018-06-11;2018;24;Industrial;338804;3.6009019964345166;1.2691703757924935;2018-06-11
2018-06-18;2018;25;Agricultural;60224;2.8227948990435707;0.8302337938363443;2018-06-18
2018-06-18;2018;25;Industrial;338804;3.5418708161650985;1.2396547856577844;2018-06-18
2018-06-25;2018;26;Agricultural;60224;2.98884165781084;1.3283740701381508;2018-06-25
2018-06-25;2018;26;Industrial;338804;3.3352616852221346;0.9444988843106928;2018-06-25
2018-07-02;2018;27;Agricultural;60224;3.6530286928799147;1.49442082890542;2018-07-02
2018-07-02;2018;27;Industrial;338804;3.187683734548589;1.0625612448495296;2018-07-02
2018-07-09;2018;28;Agricultural;60224;3.3209351753453773;1.49442082890542;2018-07-09
2018-07-09;2018;28;Industrial;338804;3.3647772753568432;1.5643262771395852;2018-07-09
2018-07-16;2018;29;Agricultural;60224;3.154888416578108;1.162327311370882;2018-07-16
2018-07-16;2018;29;Industrial;338804;4.073151438589863;1.3872327363313302;2018-07-16
2018-07-23;2018;30;Agricultural;60224;1.49442082890542;0.8302337938363443;2018-07-23
2018-07-23;2018;30;Industrial;338804;3.305746095087425;1.6233574574090035;2018-07-23
2018-07-30;2018;31;Agricultural;60224;3.819075451647184;0.9962805526036131;2018-07-30
2018-07-30;2018;31;Industrial;338804;3.3352616852221346;1.2101391955230751;2018-07-30
2018-08-06;2018;32;Agricultural;60224;1.9925611052072263;1.49442082890542;2018-08-06
2018-08-06;2018;32;Industrial;338804;3.5713864062998075;1.4757795067354578;2018-08-06
2018-08-13;2018;33;Agricultural;60224;1.8265143464399574;0.9962805526036131;2018-08-13
2018-08-13;2018;33;Industrial;338804;4.102667028724572;1.180623605388366;2018-08-13
2018-08-20;2018;34;Agricultural;60224;2.6567481402763016;1.49442082890542;2018-08-20
2018-08-20;2018;34;Industrial;338804;3.453324045760971;0.8264365237718563;2018-08-20
2018-08-27;2018;35;Agricultural;60224;3.3209351753453773;1.3283740701381508;2018-08-27
2018-08-27;2018;35;Industrial;338804;2.8334966529320784;1.0920768349842387;2018-08-27
2018-09-03;2018;36;Agricultural;60224;2.98884165781084;1.9925611052072263;2018-09-03
2018-09-03;2018;36;Industrial;338804;3.305746095087425;1.0625612448495296;2018-09-03
2018-09-10;2018;37;Agricultural;60224;1.9925611052072263;1.162327311370882;2018-09-10
2018-09-10;2018;37;Industrial;338804;3.7189643569733533;1.4462639166007487;2018-09-10
2018-09-17;2018;38;Agricultural;60224;2.8227948990435707;1.9925611052072263;2018-09-17
2018-09-17;2018;38;Industrial;338804;3.866542307646899;0.9740144744454021;2018-09-17
2018-09-24;2018;39;Agricultural;60224;2.4907013815090333;1.3283740701381508;2018-09-24
2018-09-24;2018;39;Industrial;338804;3.423808455626262;1.2691703757924935;2018-09-24
2018-10-01;2018;40;Agricultural;60224;2.324654622741764;1.49442082890542;2018-10-01
2018-10-01;2018;40;Industrial;338804;3.659933176703935;1.151108015253657;2018-10-01
2018-10-08;2018;41;Agricultural;60224;3.819075451647184;0.6641870350690754;2018-10-08
2018-10-08;2018;41;Industrial;338804;3.5713864062998075;1.357717146196621;2018-10-08
2018-10-15;2018;42;Agricultural;60224;3.6530286928799147;1.49442082890542;2018-10-15
2018-10-15;2018;42;Industrial;338804;3.7189643569733533;1.7709354080825492;2018-10-15
2018-10-22;2018;43;Agricultural;60224;3.154888416578108;0.9962805526036131;2018-10-22
2018-10-22;2018;43;Industrial;338804;4.633947651149337;1.2986859659272025;2018-10-22
2018-10-29;2018;44;Agricultural;60224;2.324654622741764;1.3283740701381508;2018-10-29
2018-10-29;2018;44;Industrial;338804;3.5418708161650985;1.4167483264660392;2018-10-29
2018-11-05;2018;45;Agricultural;60224;2.98884165781084;0.8302337938363443;2018-11-05
2018-11-05;2018;45;Industrial;338804;3.2171993246832975;1.5643262771395852;2018-11-05
2018-11-12;2018;46;Agricultural;60224;3.154888416578108;1.8265143464399574;2018-11-12
2018-11-12;2018;46;Industrial;338804;4.132182618859281;1.0625612448495296;2018-11-12
2018-11-19;2018;47;Agricultural;60224;3.4869819341126465;1.3283740701381508;2018-11-19
2018-11-19;2018;47;Industrial;338804;3.5713864062998075;1.5643262771395852;2018-11-19
2018-11-26;2018;48;Agricultural;60224;4.649309245483528;1.162327311370882;2018-11-26
2018-11-26;2018;48;Industrial;338804;4.368307339936955;1.4462639166007487;2018-11-26
2018-12-03;2018;49;Agricultural;60224;4.649309245483528;0.3320935175345377;2018-12-03
2018-12-03;2018;49;Industrial;338804;4.456854110341082;1.357717146196621;2018-12-03
2018-12-10;2018;50;Agricultural;60224;2.6567481402763016;0.8302337938363443;2018-12-10
2018-12-10;2018;50;Industrial;338804;4.043635848455154;1.6233574574090035;2018-12-10
