MonthPeriod;Year;Month;Season;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel
2017-01-01;2017;1;Winter;Industrial;338533;10.250108556625202;19.879893540659257;51.40484280228839;38.453240514123415;2017-01
2017-02-01;2017;2;Winter;Industrial;338533;7.975588790457651;15.06500104864223;44.483936689438586;43.1799712710008;2017-02
2017-03-01;2017;3;Spring;Industrial;338533;6.3804710323661205;17.07366785512786;39.53789145061667;28.39038315509909;2017-03
2017-04-01;2017;4;Spring;Industrial;338533;5.317059193638435;16.03979523414261;27.777532756530874;16.276529811470866;2017-04
2017-05-01;2017;5;Spring;Industrial;338533;5.76014745977497;17.309981597067345;27.53697037969234;11.726397283611652;2017-05
2017-06-01;2017;6;Summer;Industrial;338533;5.96692198397202;17.044128637385423;28.13924382556501;13.602783874344109;2017-06
2017-07-01;2017;7;Summer;Industrial;338533;4.78535327427459;16.423805064794273;28.48360085541763;11.547405156003755;2017-07
2017-08-01;2017;8;Summer;Industrial;338533;5.376137629123305;14.56283434702082;21.65964410197586;12.592940431880514;2017-08
2017-09-01;2017;9;Autumn;Industrial;338533;4.608117967819976;13.73573625023262;24.708453316712603;12.5991603969677;2017-09
2017-10-01;2017;10;Autumn;Industrial;338533;5.701069024290099;16.482883500279147;31.85755156284855;32.18065023060124;2017-10
2017-11-01;2017;11;Autumn;Industrial;338533;5.34659841138087;16.335187411566967;40.58673246035099;28.863620680997126;2017-11
2017-12-01;2017;12;Winter;Industrial;338533;6.794020080760221;18.58016795999208;51.16663515816774;31.801834633170085;2017-12
2018-01-01;2018;1;Winter;Industrial;338804;7.910178156102053;21.162678126586464;42.408228479992815;35.665304347627384;2018-01
2018-02-01;2018;2;Winter;Industrial;338804;6.375367469097178;18.211119113115547;39.72160071056675;31.11762964090489;2018-02
2018-03-01;2018;3;Spring;Industrial;338804;7.083741632330197;20.306726012679896;43.45862809251976;26.636227302035127;2018-03
2018-04-01;2018;4;Spring;Industrial;338804;5.814571256537703;17.17807345840073;29.38298883720381;20.27289189816728;2018-04
2018-05-01;2018;5;Spring;Industrial;338804;5.283290634112938;16.853401966918927;22.556086171812723;17.85877627982455;2018-05
2018-06-01;2018;6;Summer;Industrial;338804;5.017650322900557;14.905373018028122;21.490527050054503;16.215925038271884;2018-06
2018-07-01;2018;7;Summer;Industrial;338804;6.227789518423631;15.554716000991723;19.254722551548504;12.501931366922202;2018-07
2018-08-01;2018;8;Summer;Industrial;338804;5.19474386370881;15.495684820722303;16.803339641417953;10.997834412588343;2018-08
