MonthPeriod;Year;Month;Season;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;NO2_arithmetic_mean;PM25_population_weighted_mean;PM25_arithmetic_mean;TimeLabel
2018-03-01;2018;3;Spring;Industrial;338804;7.083741632330197;20.306726012679896;42.55436423329516;38.44616935483871;26.35967118755453;25.79233870967742;2018-03
2018-04-01;2018;4;Spring;Industrial;338804;5.814571256537703;17.17807345840073;28.489510797815;25.06791666666667;20.17938331940457;20.245833333333334;2018-04
2018-05-01;2018;5;Spring;Industrial;338804;5.283290634112938;16.853401966918927;21.855007779005906;19.26733870967742;17.833280196979587;17.883064516129032;2018-05
2018-06-01;2018;6;Summer;Industrial;338804;5.017650322900557;14.905373018028122;21.10558672367364;18.764166666666664;16.14631372406526;15.925;2018-06
2018-07-01;2018;7;Summer;Industrial;338804;6.227789518423631;15.554716000991723;18.901303237449568;16.588709677419356;12.394550515285882;12.03225806451613;2018-07
2018-08-01;2018;8;Summer;Industrial;338804;5.19474386370881;15.495684820722303;16.620981563248083;15.163104838709677;10.94589293102862;10.675403225806452;2018-08
2018-09-01;2018;9;Autumn;Industrial;338804;4.89958796236172;14.96440419829754;23.89421884904053;21.10770833333333;15.850929189427063;15.977083333333333;2018-09
2018-10-01;2018;10;Autumn;Industrial;338804;6.050695977615376;17.17807345840073;30.699126639559317;27.933467741935484;19.878107353407152;19.21572580645161;2018-10
2018-11-01;2018;11;Autumn;Industrial;338804;6.227789518423631;16.115512213551195;28.91541364372257;27.106875;25.46791591471563;26.00208333333333;2018-11
2018-12-01;2018;12;Winter;Industrial;338804;7.910178156102053;17.70935408082549;47.291037967878296;45.11370967741936;38.80575664018835;39.881048387096776;2018-12
2019-01-01;2019;1;Winter;Industrial;340591;9.04310448602576;17.058583462275866;44.96579027956782;43.25403225806452;32.17645841145388;31.663306451612904;2019-01
2019-02-01;2019;2;Winter;Industrial;340591;9.483515418786755;16.706254716067072;51.9298080569719;49.07008928571429;35.24025890959814;34.75;2019-02
2019-03-01;2019;3;Spring;Industrial;340591;7.105296381877383;16.853058360320738;39.6070276060771;36.431250000000006;22.261640309094236;21.70766129032258;2019-03
2019-04-01;2019;4;Spring;Industrial;340591;6.635524720265656;16.148400867903145;26.52001473860793;23.97375;16.378012685837895;16.270833333333332;2019-04
2019-05-01;2019;5;Spring;Industrial;340591;7.046574924175918;15.443743375485552;22.76878273902168;20.29254032258065;13.680601429967648;13.435483870967742;2019-05
2019-06-01;2019;6;Summer;Industrial;340591;6.723606906817855;15.531825562037753;21.377837538200986;19.023958333333333;14.63545904392687;14.104166666666666;2019-06
2019-07-01;2019;7;Summer;Industrial;340591;7.516346585787646;15.737350663992885;21.91755158189127;19.25383064516129;14.305571160785044;13.65725806451613;2019-07
2019-08-01;2019;8;Summer;Industrial;340591;5.960227956698797;14.3280356791577;17.03485887424468;14.942137096774196;10.802139650114464;10.39516129032258;2019-08
