BSA;Municipality;Area;Province;INDEX_MEDIAN;INDEX_Q25;INDEX_Q75;INDEX_IQR;CI_LOW_MEDIAN;CI_HIGH_MEDIAN;AVG_STDEFF;2016INDEX;2016STDEFF;2017INDEX;2017STDEFF;2018INDEX;2018STDEFF;2019INDEX;2019STDEFF;2023INDEX;2023STDEFF
19063;OLMENETA;Agricultural;CR;-0.1121345793997903;-0.1270252553331165;-0.0678999621385046;0.0591252931946119;-0.1342860170486681;-0.0835976395310313;-2.6239669004263497e-05;-0.1270252553331165;-3.128961588275904e-05;-0.0678999621385046;-1.672557412028873e-05;-0.1612127606024008;-3.971081416122751e-05;-0.1121345793997903;-2.762167765833133e-05;-0.0627800836565595;-1.5464415463941766e-05
19027;CASTELVISCONTI;Agricultural;CR;-0.1301972015793359;-0.1509836448488029;-0.1178035792589738;0.0331800655898291;-0.1599701358952145;-0.1028380447153921;-2.6289399417757137e-05;-0.1301972015793359;-3.213162255181008e-05;-0.1178035792589738;-2.9072995145987352e-05;-0.1509836448488029;-3.726150891876109e-05;-0.1860554839107797;-4.591686272624933e-05;-0.0065659666408609;-1.620438304974128e-06
17020;BORGO SAN GIACOMO;Agricultural;BS;-0.1071718267743088;-0.1262802730163064;-0.0650553176738805;0.0612249553424258;-0.1311224243319986;-0.0894346240175299;-2.64918067159848e-05;-0.1071718267743088;-2.956804700413947e-05;-0.0650553176738805;-1.7948405925501317e-05;-0.1670232463687477;-4.60805230406528e-05;-0.1262802730163064;-3.483991053081866e-05;-0.0327944896967882;-9.047837285785807e-06
17200;VILLACHIARA;Agricultural;BS;-0.0946092756034863;-0.1355789893566657;-0.0470575258993881;0.0885214634572776;-0.1207065711345581;-0.0716671943335971;-2.6497286664492536e-05;-0.0946092756034863;-2.582897538340025e-05;-0.0470575258993881;-1.2847059979741864e-05;-0.1566892768296398;-4.277708333674749e-05;-0.1355789893566657;-3.701389758059264e-05;-0.0446727277617988;-1.2195993767663784e-05
19098;SORESINA;Agricultural;CR;-0.1202822267939195;-0.1204386937661831;-0.113051864690889;0.007386829075294;-0.1543188023394605;-0.0837028646461158;-2.683805400207705e-05;-0.1202822267939195;-2.9574344825579696e-05;-0.113051864690889;-2.779659293337056e-05;-0.1586003470483898;-3.899571921109986e-05;-0.1204386937661831;-2.9612815837671647e-05;-0.0471641608348164;-1.1596513744276657e-05
19007;BORDOLANO;Agricultural;CR;-0.1071595198836759;-0.1624346671734632;-0.0835682412463628;0.0788664259271004;-0.1394909831348247;-0.0671751078624887;-2.695737063585156e-05;-0.1624346671734632;-4.0129683417659766e-05;-0.0835682412463628;-2.064572198980791e-05;-0.195305731004782;-4.8250436541281104e-05;-0.1071595198836759;-2.6473967587632103e-05;0.0235490541465061;5.817879588964989e-06
19085;ROBECCO D'OGLIO;Agricultural;CR;-0.1119849047014823;-0.1371852487968422;-0.0799942107120077;0.0571910380848345;-0.1341461946397491;-0.0888074697332002;-2.698344862982737e-05;-0.1371852487968422;-3.375331450683837e-05;-0.0799942107120077;-1.9681983796915423e-05;-0.1667055124806886;-4.10164718049608e-05;-0.1119849047014823;-2.755301122060123e-05;-0.056937777042077;-1.4009135774333783e-05
19033;CORTE DE' FRATI;Agricultural;CR;-0.1046086518930455;-0.1168722921217219;-0.0853105919481114;0.0315617001736104;-0.1278678010013086;-0.0800519052285933;-2.7054718127734357e-05;-0.1168722921217219;-2.8834069711663487e-05;-0.0689165519927379;-1.7002744065056067e-05;-0.1584449892876424;-3.90905646219211e-05;-0.1046086518930455;-2.580847050962463e-05;-0.0853105919481114;-2.1047380775873604e-05
19047;GENIVOLTA;Agricultural;CR;-0.0818586348143885;-0.1077838031214311;-0.0596411939250761;0.048142609196355;-0.1243247523556371;-0.049495071876937;-2.7535073284788133e-05;-0.0596411939250761;-1.4703566293727094e-05;-0.0572226685426301;-1.410731998951778e-05;-0.1077838031214311;-2.6572276385135497e-05;-0.2296136038730121;-5.660699420264119e-05;-0.0818586348143885;-2.018089143678631e-05
17117;NAVE;Industrial;BS;-0.1045885792172115;-0.1415538891912094;-0.0996027917760607;0.0419510974151487;-0.1511018100432339;-0.0793940612727975;-2.8708952510949072e-05;-0.1045885792172115;-2.869183046316523e-05;-0.0996027917760607;-2.7324085182739044e-05;-0.1415538891912094;-3.883245617816922e-05;-0.1919132231035354;-5.264736944507058e-05;-0.0079539453273781;-2.182021602529339e-06
17149;PONTEVICO;Agricultural;BS;-0.106607447582305;-0.1413433113284711;-0.0671018302160736;0.0742414811123975;-0.137017700449944;-0.0751117556776132;-2.929796724371193e-05;-0.1413433113284711;-3.870233596705089e-05;-0.0671018302160736;-1.837376523495529e-05;-0.106607447582305;-2.9191092039257748e-05;-0.145436064069559;-3.98229956346396e-05;-0.0354211298836114;-9.699001130931272e-06
19032;CORTE DE' CORTESI CON CIGNONE;Agricultural;CR;-0.1245260607773502;-0.1627222455322219;-0.1206362828600388;0.0420859626721831;-0.1789632588482645;-0.0938951818255441;-2.9411067785705417e-05;-0.1627222455322219;-4.0147923087601725e-05;-0.1245260607773502;-3.0723966029920225e-05;-0.1767144414465474;-4.360013939408925e-05;-0.1206362828600388;-2.9764258107622116e-05;-0.0181958733526676;-4.48944192602022e-06
19016;CASALBUTTANO ED UNITI;Agricultural;CR;-0.1158238561243922;-0.1505519681125453;-0.0947339410534685;0.0558180270590767;-0.1528283280339338;-0.0883556299924275;-3.028932567695388e-05;-0.0947339410534685;-2.3393142669827688e-05;-0.1505519681125453;-3.7176468036430695e-05;-0.1701233634040141;-4.200927660972976e-05;-0.1158238561243922;-2.8600952898344622e-05;-0.0711983772284616;-1.7581405769246623e-05
17023;BOTTICINO;Industrial;BS;-0.1119446436537713;-0.1680828095845639;-0.0416217538340538;0.1264610557505101;-0.1574065569802804;-0.0851411134749931;-3.0510997128340367e-05;-0.1119446436537713;-3.087938626312235e-05;-0.0374625141719727;-1.033389780211746e-05;-0.1680828095845639;-4.636467378530302e-05;-0.2100072647365588;-5.792915031773113e-05;-0.0416217538340538;-1.1481206077044732e-05
19003;ANNICCO;Agricultural;CR;-0.1485780724738479;-0.1500023753312448;-0.0942344579993242;0.0557679173319205;-0.1725910100507775;-0.1239613129580945;-3.216306831240138e-05;-0.1485780724738479;-3.671414787746607e-05;-0.0817030715281987;-2.018917836568657e-05;-0.1640455346755893;-4.053617748706637e-05;-0.1500023753312448;-3.706609518768076e-05;-0.0942344579993242;-2.3285722195915576e-05
17159;QUINZANO D'OGLIO;Agricultural;BS;-0.1592391348063503;-0.1744253004416222;-0.0508797488153873;0.1235455516262348;-0.1985963831366845;-0.1249271220111503;-3.401910148056774e-05;-0.1744253004416222;-4.773285241703936e-05;-0.0508797488153873;-1.3923742835970844e-05;-0.1969857677216453;-5.3906630475397816e-05;-0.1592391348063503;-4.357707757037831e-05;-0.0124130014424837;-3.3969473393792848e-06
17057;COLLEBEATO;Industrial;BS;-0.0922394391070241;-0.1127241698472112;-0.0859724754238073;0.0267516944234038;-0.1357464443141378;-0.0510778921341392;-3.4543179989123755e-05;-0.0922394391070241;-2.53931134109573e-05;-0.0589527472681569;-1.6229464674991177e-05;-0.0859724754238073;-2.366785446542912e-05;-0.2306795319157429;-6.350454892392363e-05;-0.1127241698472112;-3.10324327553529e-05
