WeekStart;Year;Week;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel;NO2_mean;PM25_mean;NO2_mean_lag0;NO2_mean_lag0_WeekStart;PM25_mean_lag0;PM25_mean_lag0_WeekStart;NO2_mean_lag1;NO2_mean_lag1_WeekStart;PM25_mean_lag1;PM25_mean_lag1_WeekStart;NO2_mean_lag2;NO2_mean_lag2_WeekStart;PM25_mean_lag2;PM25_mean_lag2_WeekStart;NO2_mean_lag3;NO2_mean_lag3_WeekStart;PM25_mean_lag3;PM25_mean_lag3_WeekStart;NO2_mean_lag4;NO2_mean_lag4_WeekStart;PM25_mean_lag4;PM25_mean_lag4_WeekStart
2017-07-24;2017;30;Industrial;338533;3.249313951667932;0.7089412258184579;2017-07-24;19.798809523809524;8.428571428571429;19.798809523809524;2017-07-24;8.428571428571429;2017-07-24;19.582738095238092;2017-07-17;13.285714285714286;2017-07-17;13.691666666666666;2017-07-10;10.142857142857142;2017-07-10;17.007763975155278;2017-07-03;12.285714285714286;2017-07-03;13.76904761904762;2017-06-26;7.857142857142857;2017-06-26
2017-07-31;2017;31;Agricultural;60562;2.3116805917902314;1.1558402958951157;2017-07-31;20.135119047619046;27.285714285714285;20.135119047619046;2017-07-31;27.285714285714285;2017-07-31;19.286309523809525;2017-07-24;15.0;2017-07-24;20.00654761904762;2017-07-17;16.857142857142858;2017-07-17;17.035119047619045;2017-07-10;16.714285714285715;2017-07-10;19.992261904761904;2017-07-03;15.0;2017-07-03
2017-07-31;2017;31;Industrial;338533;3.5742453468347253;1.2111079274398655;2017-07-31;20.390422077922075;17.285714285714285;20.390422077922075;2017-07-31;17.285714285714285;2017-07-31;19.798809523809524;2017-07-24;8.428571428571429;2017-07-24;19.582738095238092;2017-07-17;13.285714285714286;2017-07-17;13.691666666666666;2017-07-10;10.142857142857142;2017-07-10;17.007763975155278;2017-07-03;12.285714285714286;2017-07-03
2017-08-07;2017;32;Agricultural;60562;3.3024008454146165;1.3209603381658466;2017-08-07;16.41845238095238;11.714285714285714;16.41845238095238;2017-08-07;11.714285714285714;2017-08-07;20.135119047619046;2017-07-31;27.285714285714285;2017-07-31;19.286309523809525;2017-07-24;15.0;2017-07-24;20.00654761904762;2017-07-17;16.857142857142858;2017-07-17;17.035119047619045;2017-07-10;16.714285714285715;2017-07-10
2017-08-07;2017;32;Industrial;338533;3.662863000062032;1.4178824516369157;2017-08-07;13.998214285714285;8.714285714285714;13.998214285714285;2017-08-07;8.714285714285714;2017-08-07;20.390422077922075;2017-07-31;17.285714285714285;2017-07-31;19.798809523809524;2017-07-24;8.428571428571429;2017-07-24;19.582738095238092;2017-07-17;13.285714285714286;2017-07-17;13.691666666666666;2017-07-10;10.142857142857142;2017-07-10
2017-08-14;2017;33;Agricultural;60562;2.3116805917902314;0.6604801690829233;2017-08-14;17.811904761904763;13.714285714285714;17.811904761904763;2017-08-14;13.714285714285714;2017-08-14;16.41845238095238;2017-08-07;11.714285714285714;2017-08-07;20.135119047619046;2017-07-31;27.285714285714285;2017-07-31;19.286309523809525;2017-07-24;15.0;2017-07-24;20.00654761904762;2017-07-17;16.857142857142858;2017-07-17
2017-08-14;2017;33;Industrial;338533;2.9539217742435744;0.915715750015508;2017-08-14;12.375;6.714285714285714;12.375;2017-08-14;6.714285714285714;2017-08-14;13.998214285714285;2017-08-07;8.714285714285714;2017-08-07;20.390422077922075;2017-07-31;17.285714285714285;2017-07-31;19.798809523809524;2017-07-24;8.428571428571429;2017-07-24;19.582738095238092;2017-07-17;13.285714285714286;2017-07-17
2017-08-21;2017;34;Agricultural;60562;2.3116805917902314;1.1558402958951157;2017-08-21;18.76845238095238;17.857142857142858;18.76845238095238;2017-08-21;17.857142857142858;2017-08-21;17.811904761904763;2017-08-14;13.714285714285714;2017-08-14;16.41845238095238;2017-08-07;11.714285714285714;2017-08-07;20.135119047619046;2017-07-31;27.285714285714285;2017-07-31;19.286309523809525;2017-07-24;15.0;2017-07-24
2017-08-21;2017;34;Industrial;338533;3.2788531694103678;1.4178824516369157;2017-08-21;15.445833333333335;10.0;15.445833333333335;2017-08-21;10.0;2017-08-21;12.375;2017-08-14;6.714285714285714;2017-08-14;13.998214285714285;2017-08-07;8.714285714285714;2017-08-07;20.390422077922075;2017-07-31;17.285714285714285;2017-07-31;19.798809523809524;2017-07-24;8.428571428571429;2017-07-24
2017-08-28;2017;35;Agricultural;60562;3.1372808031438852;0.6604801690829233;2017-08-28;17.757556935817806;13.571428571428571;17.757556935817806;2017-08-28;13.571428571428571;2017-08-28;18.76845238095238;2017-08-21;17.857142857142858;2017-08-21;17.811904761904763;2017-08-14;13.714285714285714;2017-08-14;16.41845238095238;2017-08-07;11.714285714285714;2017-08-07;20.135119047619046;2017-07-31;27.285714285714285;2017-07-31
2017-08-28;2017;35;Industrial;338533;3.101617862955753;1.0338726209852511;2017-08-28;17.134778911564627;13.5;17.134778911564627;2017-08-28;13.5;2017-08-28;15.445833333333335;2017-08-21;10.0;2017-08-21;12.375;2017-08-14;6.714285714285714;2017-08-14;13.998214285714285;2017-08-07;8.714285714285714;2017-08-07;20.390422077922075;2017-07-31;17.285714285714285;2017-07-31
2017-09-04;2017;36;Agricultural;60562;2.3116805917902314;0.8256002113536541;2017-09-04;19.46607142857143;20.428571428571427;19.46607142857143;2017-09-04;20.428571428571427;2017-09-04;17.757556935817806;2017-08-28;13.571428571428571;2017-08-28;18.76845238095238;2017-08-21;17.857142857142858;2017-08-21;17.811904761904763;2017-08-14;13.714285714285714;2017-08-14;16.41845238095238;2017-08-07;11.714285714285714;2017-08-07
2017-09-04;2017;36;Industrial;338533;2.894843338758703;0.9747941855003797;2017-09-04;23.31271645021645;15.5;23.31271645021645;2017-09-04;15.5;2017-09-04;17.134778911564627;2017-08-28;13.5;2017-08-28;15.445833333333335;2017-08-21;10.0;2017-08-21;12.375;2017-08-14;6.714285714285714;2017-08-14;13.998214285714285;2017-08-07;8.714285714285714;2017-08-07
2017-09-11;2017;37;Agricultural;60562;2.972160760873155;1.4860803804365774;2017-09-11;18.49404761904762;16.0;18.49404761904762;2017-09-11;16.0;2017-09-11;19.46607142857143;2017-09-04;20.428571428571427;2017-09-04;17.757556935817806;2017-08-28;13.571428571428571;2017-08-28;18.76845238095238;2017-08-21;17.857142857142858;2017-08-21;17.811904761904763;2017-08-14;13.714285714285714;2017-08-14
2017-09-11;2017;37;Industrial;338533;2.865304121016267;0.7680196613033293;2017-09-11;22.507738095238096;11.666666666666666;22.507738095238096;2017-09-11;11.666666666666666;2017-09-11;23.31271645021645;2017-09-04;15.5;2017-09-04;17.134778911564627;2017-08-28;13.5;2017-08-28;15.445833333333335;2017-08-21;10.0;2017-08-21;12.375;2017-08-14;6.714285714285714;2017-08-14
2017-09-18;2017;38;Agricultural;60562;2.4768006340609623;1.1558402958951157;2017-09-18;24.244642857142857;18.857142857142858;24.244642857142857;2017-09-18;18.857142857142858;2017-09-18;18.49404761904762;2017-09-11;16.0;2017-09-11;19.46607142857143;2017-09-04;20.428571428571427;2017-09-04;17.757556935817806;2017-08-28;13.571428571428571;2017-08-28;18.76845238095238;2017-08-21;17.857142857142858;2017-08-21
2017-09-18;2017;38;Industrial;338533;3.5151669113498536;1.1815687096974299;2017-09-18;22.10595238095238;17.833333333333332;22.10595238095238;2017-09-18;17.833333333333332;2017-09-18;22.507738095238096;2017-09-11;11.666666666666666;2017-09-11;23.31271645021645;2017-09-04;15.5;2017-09-04;17.134778911564627;2017-08-28;13.5;2017-08-28;15.445833333333335;2017-08-21;10.0;2017-08-21
